11/25/1897,"South Bend, IN",Notre Dame,Michigan State,34–6,no content
10/15/1898,"South Bend, IN",Notre Dame,Michigan State,53–0,no content
9/30/1899,"South Bend, IN",Notre Dame,Michigan State,40–0,no content
9/27/1902,"South Bend, IN",Notre Dame,Michigan State,33–0,no content
10/3/1903,"South Bend, IN",Notre Dame,Michigan State,12–0,no content
10/7/1905,"South Bend, IN",Notre Dame,Michigan State,28–0,no content
10/17/1906,"South Bend, IN",Notre Dame,Michigan State,5–0,no content
10/23/1909,"South Bend, IN",Notre Dame,Michigan State,17–0,no content
10/29/1910,"East Lansing, MI",Michigan State,Notre Dame,17–0,no content
11/18/1916,"East Lansing, MI",Notre Dame,Michigan State,14–0,no content
11/17/1917,"South Bend, IN",Notre Dame,Michigan State,23–0,no content
11/16/1918,"East Lansing, MI",Michigan State,Notre Dame,13–7,no content
11/15/1919,"South Bend, IN",Notre Dame,Michigan State,13–0,no content
11/25/1920,"East Lansing, MI",Notre Dame,Michigan State,25–0,no content
11/24/1921,"South Bend, IN",Notre Dame,Michigan State,48–0,no content
10/9/1948,"South Bend, IN",Notre Dame,Michigan State,26–7,no content
11/5/1949,"East Lansing, MI",Notre Dame,Michigan State,34–21,no content
10/28/1950,"South Bend, IN",Michigan State,Notre Dame,36–33,no content
11/10/1951,"East Lansing, MI",Michigan State,Notre Dame,35–0,no content
11/15/1952,"East Lansing, MI",Michigan State,Notre Dame,21–3,no content
10/16/1954,"South Bend, IN",Notre Dame,Michigan State,20–19,no content
10/15/1955,"East Lansing, MI",Michigan State,Notre Dame,21–7,no content
10/20/1956,"South Bend, IN",Michigan State,Notre Dame,47–14,no content
11/9/1957,"East Lansing, MI",Michigan State,Notre Dame,34–6,no content
10/17/1959,"East Lansing, MI",Michigan State,Notre Dame,19–0,no content
10/15/1960,"South Bend, IN",Michigan State,Notre Dame,21–0,no content
10/21/1961,"East Lansing, MI",Michigan State,Notre Dame,17–7,no content
10/20/1962,"South Bend, IN",Michigan State,Notre Dame,31–7,no content
11/16/1963,"East Lansing, MI",Michigan State,Notre Dame,12–7,no content
11/14/1964,"South Bend, IN",Notre Dame,Michigan State,34–7,no content
11/20/1965,"South Bend, IN",Michigan State,Notre Dame,12–3,no content
11/19/1966,"East Lansing, MI",Tie,Tie,10–10,no content
10/28/1967,"South Bend, IN",Notre Dame,Michigan State,24–12,no content
10/26/1968,"East Lansing, MI",Michigan State,Notre Dame,21–17,no content
10/4/1969,"South Bend, IN",Notre Dame,Michigan State,42–28,no content
10/3/1970,"East Lansing, MI",Notre Dame,Michigan State,29–0,no content
10/2/1971,"South Bend, IN",Notre Dame,Michigan State,14–2,no content
10/7/1972,"East Lansing, MI",Notre Dame,Michigan State,16–0,no content
10/6/1973,"South Bend, IN",Notre Dame,Michigan State,14–10,no content
10/5/1974,"East Lansing, MI",Notre Dame,Michigan State,19–14,no content
10/4/1975,"South Bend, IN",Michigan State,Notre Dame,10–3,no content
10/2/1976,"East Lansing, MI",Notre Dame,Michigan State,24–6,no content
10/1/1977,"South Bend, IN",Notre Dame,Michigan State,16–6,no content
10/7/1978,"East Lansing, MI",Notre Dame,Michigan State,29–25,no content
9/29/1979,"South Bend, IN",Notre Dame,Michigan State,27–3,no content
10/4/1980,"East Lansing, MI",Notre Dame,Michigan State,26–21,no content
10/3/1981,"South Bend, IN",Notre Dame,Michigan State,20–7,no content
10/2/1982,"East Lansing, MI",Notre Dame,Michigan State,11–3,no content
9/17/1983,"South Bend, IN",Michigan State,Notre Dame,28–23,no content
9/15/1984,"East Lansing, MI",Notre Dame,Michigan State,24–20,no content
9/21/1985,"South Bend, IN",Notre Dame,Michigan State,27–10,no content
9/20/1986,"East Lansing, MI",Michigan State,Notre Dame,20–15,no content
9/19/1987,"South Bend, IN",Notre Dame,Michigan State,31–8,no content
9/17/1988,"East Lansing, MI",Notre Dame,Michigan State,20–3,no content
9/23/1989,"South Bend, IN",Notre Dame,Michigan State,21–13,no content
9/22/1990,"East Lansing, MI",Notre Dame,Michigan State,20–19,no content
9/21/1991,"South Bend, IN",Notre Dame,Michigan State,49–10,no content
9/19/1992,"East Lansing, MI",Notre Dame,Michigan State,52–31,no content
9/18/1993,"South Bend, IN",Notre Dame,Michigan State,36–14,no content
9/17/1994,"East Lansing, MI",Notre Dame,Michigan State,21–20,no content
9/20/1997,"South Bend, IN",Michigan State,Notre Dame,23–7,no content
9/12/1998,"East Lansing, MI",Michigan State,Notre Dame,45–23,no content
9/18/1999,"South Bend, IN",Michigan State,Notre Dame,23–13,no content
9/23/2000,"East Lansing, MI",Michigan State,Notre Dame,27–21,no content
9/22/2001,"South Bend, IN",Michigan State,Notre Dame,17–10,no content
9/21/2002,"East Lansing, MI",Notre Dame,Michigan State,21–17,no content
9/20/2003,"South Bend, IN",Michigan State,Notre Dame,22–16,no content
9/18/2004,"East Lansing, MI",Notre Dame,Michigan State,31–24,no content
9/17/2005,"South Bend, IN",Michigan State,Notre Dame,44–41 2OT,no content
9/23/2006,"East Lansing, MI",Notre Dame,Michigan State,40–37,no content
9/22/2007,"South Bend, IN",Michigan State,Notre Dame,31–14,no content
9/20/2008,"East Lansing, MI",Michigan State,Notre Dame,23–7,no content
9/19/2009,"South Bend, IN",Notre Dame,Michigan State,33–30,no content
9/18/2010,"East Lansing, MI",Michigan State,Notre Dame,34–31 OT,no content
9/17/2011,"South Bend, IN",Notre Dame,Michigan State,31–13,no content
9/15/2012,"East Lansing, MI",Notre Dame,Michigan State,20–3,no content
9/21/2013,"South Bend, IN",Notre Dame,Michigan State,17–13,no content
9/17/2016,"South Bend, IN",Michigan State,Notre Dame,36–28,no content
9/23/2017,"East Lansing, MI",Notre Dame,Michigan State,38–18,no content