11/13/1914,"State College, PA",Michigan State,Penn State,6-3,no content,6,3
10/24/1925,"State College, PA",Penn State,Michigan State,13-6,no content,13,6
11/17/1945,"East Lansing, MI",Michigan State,Penn State,33-0,no content,33,0
10/19/1946,"State College, PA",Michigan State,Penn State,19-16,no content,19,16
10/23/1948,"State College, PA",Tie,Tie,14-14,no content,14,14
10/22/1949,"East Lansing, MI",Michigan State,Penn State,24-0,no content,24,0
10/20/1951,"State College, PA",Michigan State,Penn State,32-21,no content,32,21
10/25/1952,"East Lansing, MI",Michigan State,Penn State,34-7,no content,34,7
9/25/1965,"State College, PA",Michigan State,Penn State,23-0,no content,23,0
9/24/1966,"East Lansing, MI",Michigan State,Penn State,42-8,no content,42,8
11/27/1993,"East Lansing, MI",Penn State,Michigan State,38-37,no content,38,37
11/26/1994,"State College, PA",Penn State,Michigan State,59-31,no content,59,31
11/25/1995,"East Lansing, MI",Penn State,Michigan State,25-20,no content,25,20
11/23/1996,"State College, PA",Penn State,Michigan State,32-29,no content,32,29
11/29/1997,"East Lansing, MI",Michigan State,Penn State,49-14,no content,49,14
11/28/1998,"State College, PA",Penn State,Michigan State,51-28,no content,51,28
11/20/1999,"East Lansing, MI",Michigan State,Penn State,35-28,no content,35,28
11/18/2000,"State College, PA",Penn State,Michigan State,42-23,no content,42,23
11/24/2001,"East Lansing, MI",Penn State,Michigan State,42-37,no content,42,37
11/23/2002,"State College, PA",Penn State,Michigan State,61-7,no content,61,7
11/22/2003,"East Lansing, MI",Michigan State,Penn State,41-10,no content,41,10
11/20/2004,"State College, PA",Penn State,Michigan State,37-13,no content,37,13
11/19/2005,"East Lansing, MI",Penn State,Michigan State,31-22,no content,31,22
11/18/2006,"State College, PA",Penn State,Michigan State,17-13,no content,17,13
11/17/2007,"East Lansing, MI",Michigan State,Penn State,35-31,no content,35,31
11/22/2008,"State College, PA",Penn State,Michigan State,49-18,no content,49,18
11/21/2009,"East Lansing, MI",Penn State,Michigan State,42-14,no content,42,14
11/27/2010,"State College, PA",Michigan State,Penn State,28-22,no content,28,22
11/29/2014,"State College, PA",Michigan State,Penn State,34-10,no content,34,10
11/28/2015,"East Lansing, MI",Michigan State,Penn State,55-16,no content,55,16
11/26/2016,"State College, PA",Penn State,Michigan State,45-12,no content,45,12
11/4/2017,"East Lansing, MI",Michigan State,Penn State,27-24,no content,27,24
10/13/2018,"State College, PA",Michigan State,Penn State,21-17,no content,21,17
10/26/2019,"East Lansing, MI",Penn State,Michigan State,28-7,no content,28,7
12/12/2020,"State College, PA",Penn State,Michigan State,39-24,no content,39,24
11/27/2021,"East Lansing, MI",Michigan State,Penn State, 30-27,Snowy game!,30,27